model,dataset,context_type,condition,n_item_models,completed_all_runs_rate,all_runs_same_rate,changed_across_runs_rate,mean_unique_answers,mean_pairwise_agreement,mean_accuracy_rate,mean_unknown_rate
gemini_3_5_flash_lite,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
gemini_3_5_flash_lite,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
gemini_3_5_flash_lite,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9636363636363636,0.03636363636363636,1.0363636363636364,0.9757575757575758,0.8303030303030304,0.16969696969696968
gemini_3_5_flash_lite,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9636363636363636,0.03636363636363636,1.0363636363636364,0.9757575757575758,0.8181818181818182,0.18181818181818182
gemini_3_5_flash_lite,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.9857142857142858,0.9857142857142858
gemini_3_5_flash_lite,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.9952380952380953,0.9952380952380953
gemini_3_5_flash_lite,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.6523809523809524,0.3190476190476191
gemini_3_5_flash_lite,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.6476190476190475,0.32380952380952377
gemini_3_5_flash_lite,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,1.0,0.0,1.0,1.0,0.9857142857142858,0.9857142857142858
gemini_3_5_flash_lite,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761906,0.9904761904761906,0.9904761904761906
gemini_3_5_flash_lite,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.8761904761904761,0.1238095238095238
gemini_3_5_flash_lite,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761906,0.8666666666666666,0.1333333333333333
gemma_3_27b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9575757575757575,0.9575757575757575
gemma_3_27b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9575757575757575,0.9575757575757575
gemma_3_27b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787878,0.9393939393939393,0.04242424242424242
gemma_3_27b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9636363636363636,0.03636363636363636,1.0363636363636364,0.9757575757575757,0.8787878787878787,0.10303030303030301
gemma_3_27b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.961904761904762,0.8095238095238095,0.8095238095238095
gemma_3_27b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.8523809523809525,0.8523809523809525
gemma_3_27b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.961904761904762,0.819047619047619,0.1238095238095238
gemma_3_27b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9,0.1,1.1,0.9333333333333335,0.7809523809523807,0.14761904761904762
gemma_3_27b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9,0.1,1.1,0.9333333333333335,0.7619047619047621,0.7619047619047621
gemma_3_27b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1142857142857143,0.9238095238095239,0.823809523809524,0.823809523809524
gemma_3_27b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,1.0,0.0,1.0,1.0,0.9428571428571428,0.014285714285714285
gemma_3_27b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.8714285714285714,0.12857142857142856,1.1285714285714286,0.9142857142857143,0.8523809523809524,0.0619047619047619
gpt_5_mini,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
gpt_5_mini,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
gpt_5_mini,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9272727272727272,0.07272727272727272,1.0727272727272728,0.9515151515151516,0.8424242424242425,0.1575757575757576
gpt_5_mini,BBQ,disambiguated,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.8181818181818182,0.18181818181818182
gpt_5_mini,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761906,0.9952380952380951,0.9952380952380951
gpt_5_mini,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761906,0.9952380952380951,0.9952380952380951
gpt_5_mini,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1142857142857143,0.9238095238095239,0.7190476190476192,0.24285714285714285
gpt_5_mini,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.8714285714285714,0.12857142857142856,1.1285714285714286,0.9142857142857143,0.6952380952380954,0.2714285714285714
gpt_5_mini,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.9,0.9
gpt_5_mini,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.9476190476190476,0.9476190476190476
gpt_5_mini,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9142857142857143,0.08571428571428572,1.1,0.938095238095238,0.8571428571428571,0.12857142857142856
gpt_5_mini,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0857142857142856,0.9476190476190478,0.8333333333333335,0.15714285714285714
llama_3_3_70b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
llama_3_3_70b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
llama_3_3_70b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9151515151515152,0.08484848484848485
llama_3_3_70b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9090909090909091,0.09090909090909091,1.0909090909090908,0.9393939393939394,0.8666666666666665,0.1333333333333333
llama_3_3_70b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.9809523809523808,0.7904761904761904,0.7904761904761904
llama_3_3_70b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.8761904761904762,0.8761904761904762
llama_3_3_70b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761906,0.8333333333333334,0.12380952380952383
llama_3_3_70b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.8142857142857143,0.13809523809523808
llama_3_3_70b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9,0.1,1.1142857142857143,0.9285714285714286,0.8238095238095239,0.8238095238095239
llama_3_3_70b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.961904761904762,0.8761904761904762,0.8761904761904762
llama_3_3_70b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.961904761904762,0.9428571428571428,0.02857142857142857
llama_3_3_70b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.9285714285714286,0.057142857142857134
mistral_small_3_2_24b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9878787878787879,0.9878787878787879
mistral_small_3_2_24b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
mistral_small_3_2_24b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,0.9636363636363636,0.03636363636363636,1.0363636363636364,0.9757575757575758,0.8666666666666666,0.13333333333333333
mistral_small_3_2_24b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.8727272727272727,0.12727272727272726,1.1272727272727272,0.915151515151515,0.8363636363636363,0.1575757575757576
mistral_small_3_2_24b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714
mistral_small_3_2_24b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.9142857142857143,0.9142857142857143
