model,condition,n_item_models,completed_all_runs_rate,all_runs_same_rate,changed_across_runs_rate,mean_unique_answers,mean_pairwise_agreement,mean_accuracy_rate,mean_unknown_rate
gemini_3_5_flash_lite,multi_agent_no_revision,390,1.0,0.9717948717948718,0.028205128205128206,1.028205128205128,0.9811965811965813,0.8837606837606835,0.5957264957264957
gemini_3_5_flash_lite,multi_agent_with_revision,390,1.0,0.982051282051282,0.017948717948717947,1.0179487179487179,0.988034188034188,0.8820512820512819,0.6025641025641028
gemma_3_27b,multi_agent_no_revision,390,1.0,0.9564102564102565,0.04358974358974359,1.0435897435897437,0.970940170940171,0.8658119658119656,0.447863247863248
gemma_3_27b,multi_agent_with_revision,390,1.0,0.9179487179487179,0.08205128205128205,1.082051282051282,0.9452991452991449,0.8529914529914526,0.4880341880341881
gpt_5_mini,multi_agent_no_revision,390,1.0,0.9461538461538461,0.05384615384615385,1.0564102564102564,0.963247863247863,0.8803418803418803,0.5675213675213675
gpt_5_mini,multi_agent_with_revision,390,1.0,0.9487179487179487,0.05128205128205128,1.0538461538461539,0.9649572649572651,0.8769230769230766,0.5897435897435896
llama_3_3_70b,multi_agent_no_revision,390,1.0,0.9615384615384616,0.038461538461538464,1.041025641025641,0.9735042735042732,0.8760683760683761,0.46752136752136747
llama_3_3_70b,multi_agent_with_revision,390,1.0,0.9538461538461539,0.046153846153846156,1.0461538461538462,0.9692307692307691,0.8880341880341879,0.5068376068376067
mistral_small_3_2_24b,multi_agent_no_revision,390,1.0,0.9512820512820512,0.04871794871794872,1.0487179487179488,0.9675213675213675,0.8794871794871795,0.5615384615384617
mistral_small_3_2_24b,multi_agent_with_revision,390,1.0,0.941025641025641,0.05897435897435897,1.058974358974359,0.9606837606837605,0.8666666666666667,0.5504273504273506
qwen3_14b,multi_agent_no_revision,390,1.0,0.9615384615384616,0.038461538461538464,1.0384615384615385,0.9743589743589741,0.8094017094017094,0.6512820512820513
qwen3_14b,multi_agent_with_revision,390,1.0,0.958974358974359,0.041025641025641026,1.041025641025641,0.9726495726495724,0.8111111111111109,0.6333333333333333
qwen3_32b,multi_agent_no_revision,390,1.0,0.9358974358974359,0.0641025641025641,1.0666666666666667,0.9564102564102565,0.8683760683760682,0.5606837606837608
qwen3_32b,multi_agent_with_revision,390,1.0,0.8769230769230769,0.12307692307692308,1.123076923076923,0.9179487179487181,0.8410256410256407,0.6025641025641028
qwen3_8b,multi_agent_no_revision,390,1.0,0.9769230769230769,0.023076923076923078,1.023076923076923,0.9846153846153847,0.8358974358974357,0.5119658119658119
qwen3_8b,multi_agent_with_revision,390,1.0,0.9641025641025641,0.035897435897435895,1.035897435897436,0.9760683760683758,0.8273504273504273,0.5290598290598292
