model,dataset,context_type,condition,n_item_models,completed_all_runs_rate,all_runs_same_rate,changed_across_runs_rate,mean_unique_answers,mean_pairwise_agreement,mean_accuracy_rate,mean_unknown_rate
gemma_3_27b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.9575757575757575,0.9575757575757575
gemma_3_27b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9636363636363636,0.9636363636363636
gemma_3_27b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9454545454545454,0.03636363636363636
gemma_3_27b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9818181818181818,0.01818181818181818,1.018181818181818,0.9878787878787879,0.8909090909090909,0.09696969696969697
gemma_3_27b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.8095238095238095,0.8095238095238095
gemma_3_27b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9,0.1,1.1,0.9333333333333332,0.861904761904762,0.861904761904762
gemma_3_27b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.8095238095238095,0.12857142857142856
gemma_3_27b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.8857142857142857,0.11428571428571428,1.1285714285714286,0.919047619047619,0.780952380952381,0.15238095238095237
gemma_3_27b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9,0.1,1.1,0.9333333333333332,0.761904761904762,0.761904761904762
gemma_3_27b,KoBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9,0.1,1.1,0.9333333333333332,0.8333333333333334,0.8333333333333334
gemma_3_27b,KoBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9714285714285714,0.02857142857142857,1.0285714285714285,0.980952380952381,0.9523809523809524,0.014285714285714285
gemma_3_27b,KoBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9,0.1,1.1,0.9333333333333332,0.8714285714285714,0.05714285714285714
llama_3_3_70b,BBQ,ambiguous,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
llama_3_3_70b,BBQ,ambiguous,multi_agent_with_revision,55,1.0,1.0,0.0,1.0,1.0,0.9818181818181818,0.9818181818181818
llama_3_3_70b,BBQ,disambiguated,multi_agent_no_revision,55,1.0,1.0,0.0,1.0,1.0,0.9090909090909091,0.09090909090909091
llama_3_3_70b,BBQ,disambiguated,multi_agent_with_revision,55,1.0,0.9454545454545454,0.05454545454545454,1.0545454545454545,0.9636363636363636,0.8727272727272727,0.12727272727272726
llama_3_3_70b,CBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9428571428571428,0.05714285714285714,1.0571428571428572,0.9619047619047618,0.7952380952380952,0.7952380952380952
llama_3_3_70b,CBBQ,ambiguous,multi_agent_with_revision,70,1.0,0.9857142857142858,0.014285714285714285,1.0142857142857142,0.9904761904761904,0.8666666666666666,0.8666666666666666
llama_3_3_70b,CBBQ,disambiguated,multi_agent_no_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.8238095238095238,0.12857142857142856
llama_3_3_70b,CBBQ,disambiguated,multi_agent_with_revision,70,1.0,0.9571428571428572,0.04285714285714286,1.042857142857143,0.9714285714285714,0.8142857142857143,0.13809523809523808
llama_3_3_70b,KoBBQ,ambiguous,multi_agent_no_revision,70,1.0,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.9523809523809524,0.8285714285714286,0.8285714285714286
